Evento,Categoría,País,Fecha,Resultado,Impacto
Invasión de Polonia,Inicio del conflicto,Alemania/Polonia,1939-09-01,Inicio de la guerra,8
Batalla de Stalingrado,Batalla clave,Unión Soviética,1942-08-23,Victoria soviética,10
Día D (Desembarco de Normandía),Operación militar,Aliados,1944-06-06,Inicio de la liberación de Europa,10
Bombardeo de Hiroshima,Arma nuclear,Estados Unidos/Japón,1945-08-06,Devastación nuclear,10
Batalla de Midway,Batalla naval,Estados Unidos/Japón,1942-06-04,Victoria estadounidense,9
Ataque a Pearl Harbor,Ataque sorpresa,Japón/EE.UU.,1941-12-07,Entrada de EE.UU. a la guerra,9
Operación Barbarroja,Invasión,Alemania/URSS,1941-06-22,Inicio del frente oriental,9
Batalla de El Alamein,Batalla del norte de África,Reino Unido/Alemania,1942-10-23,Victoria aliada,8
Caída de Berlín,Batalla final,Alemania/URSS,1945-05-02,Fin del Tercer Reich,9
Conferencia de Yalta,Evento político,Aliados,1945-02-04,Acuerdos postguerra,7
Juicios de Núremberg,Justicia internacional,Alemania,1945-11-20,Condenas a líderes nazis,7
Firma de rendición de Japón,Fin del conflicto,Estados Unidos/Japón,1945-09-02,Fin de la guerra,8
Holocausto,Genocidio,Alemania/Europa,1939-1945,6 millones de judíos asesinados,10
Operación Market Garden,Operación fallida,Aliados/Alemania,1944-09-17,Fracaso aliado,6
Conferencia de Potsdam,Evento político,Aliados,1945-07-17,Reorganización de Europa,7
Batalla de Inglaterra,Batalla Aérea,Reino Unido/Alemania,1940-07-10,Victoria defensiva británica,8
Blitz de Londres,Bombardeo estratégico,"Alemania / UK",1940-09-07,"Bombardeos sobre londres",7
Batalla de Moscú,Batalla clave,Alemania/URSS,1941-09-30,Victoria defensiva soviética,9
Conferencia de Teherán,Evento Político,Aliados,1943-11-28,"Acuerdos estratégicos",6
Batalla de Kursk,Batalla de tanques,Alemania/URSS,1943-07-05,Victoria estratégica soviética,9
Desembarco de Sicilia (Operación Husky),Invasión anfibia,Aliados/Italia,1943-07-09,Inicio campaña de Italia,7
Batalla de Montecassino,Guerra de montaña,Aliados/Alemania,1944-01-17,Costosa victoria aliada,7
Levantamiento de Varsovia,Resistencia,Polonia/Alemania,1944-08-01,Resistencia aplastada,6
Batalla de las Ardenas,Ofensiva alemana,Alemania/Aliados,1944-12-16,Última gran ofensiva alemana Oeste,8
Bombardeo de Dresde,Bombardeo estratégico,Aliados/Alemania,1945-02-13,Destrucción y controversia,8
Batalla de Iwo Jima,Batalla anfibia,"EE.UU./Japón",1945-02-19,Victoria estadounidense icónica,8
Batalla de Okinawa,Batalla anfibia,"USA/Japón",1945-04-01,Batalla más sangrienta del Pacífico,9
Batalla de Midway,Batalla naval,Estados Unidos/Japón,1942-06-04,Victoria estadounidense,9
Proyecto Manhattan,Desarrollo tecnológico,EE.UU.,1942-1946,,10
Batalla de Francia,Invasión,,1940-05-10,Caída de Francia,8
Batalla de inglaterra,Batalla Aérea,Reino Unido/Alemania,1940-07-10,Victoria defensiva británica,8
Batalla de las Ardenas,Ofensiva alemana,Alemania/USA,1944-12-16,"Última gran ofensiva alemana Oeste",8
Guerra de Invierno,Conflicto regional,Finlandia/URSS,1939-11-30,Finlandia cede territorio,5
Anschluss,Anexión política,Alemania/Austria,1938-03-12,Anexión de Austria,4
