Evento,Categoría,País,Fecha,Resultado
Invasión de Polonia,Inicio del conflicto,Alemania/Polonia,1939-09-01,Inicio de la guerra
Batalla de Stalingrado,Batalla clave,Unión Soviética,1942-08-23,Victoria soviética
Día D (Desembarco de Normandía),Operación militar,Aliados,1944-06-06,Inicio de la liberación de Europa
Bombardeo de Hiroshima,Arma nuclear,Estados Unidos/Japón,1945-08-06,Devastación nuclear
Batalla de Midway,Batalla naval,Estados Unidos/Japón,1942-06-04,Victoria estadounidense
Ataque a Pearl Harbor,Ataque sorpresa,Japón/EE.UU.,1941-12-07,Entrada de EE.UU. a la guerra
Operación Barbarroja,Invasión,Alemania/URSS,1941-06-22,Inicio del frente oriental
Batalla de El Alamein,Batalla del norte de África,Reino Unido/Alemania,1942-10-23,Victoria aliada
Caída de Berlín,Batalla final,Alemania/URSS,1945-05-02,Fin del Tercer Reich
Conferencia de Yalta,Evento político,Aliados,1945-02-04,Acuerdos postguerra
Juicios de Núremberg,Justicia internacional,Alemania,1945-11-20,Condenas a líderes nazis
Firma de rendición de Japón,Fin del conflicto,Estados Unidos/Japón,1945-09-02,Fin de la guerra
Holocausto,Genocidio,Alemania/Europa,1939-1945,6 millones de judíos asesinados
Operación Market Garden,Operación fallida,Aliados/Alemania,1944-09-17,Fracaso aliado
Conferencia de Potsdam,Evento político,Aliados,1945-07-17,Reorganización de Europa
